Tm,Batter,vs,Pitcher,RC,PA,AB,H,HR,XB,BB,K,AVG
HOU,Yordan Alvarez,8,Bradford,-12,3,3,0.9,0.8,0,0,0,0.293
TEX,Josh H. Smith,8,Brown,-3,3,3,0.9,0,0,0,0,0.305
SF,Wilmer Flores,8,Cease,-6,2,1,0,0,0,1,0,0.021
PHI,J.T. Realmuto,8,Corbin,1,14,12,4.2,0.9,0.7,2,1,0.353
KC,Adam Frazier,8,Fedde,8,4,4,1.4,0,0,0,0,0.347
KC,Bobby Witt Jr.,8,Fedde,4,0,0,0,0,0,0,0,0
KC,Michael Massey,8,Fedde,8,0,0,0,0,0,0,0,0
TB,Harold Ramirez,8,Gomber,45,3,3,0.1,0,0,0,1,0.019
LAD,Shohei Ohtani,8,Hendricks,0,0,0,0,0,0,0,0,0
ATL,Austin Riley,8,Henry,27,0,0,0,0,0,0,0,0
SD,Jurickson Profar,8,Hicks,-9,2,2,0.1,0,0,0,0,0.071
CIN,Spencer Steer,8,Quintana,7,7,6,1,0,0,1,2,0.159
DET,Kerry Carpenter,8,Sears,5,0,0,0,0,0,0,0,0
DET,Parker Meadows,8,Sears,8,2,2,1.3,0,0.3,0,0,0.626
DET,Riley Greene,8,Sears,-1,0,0,0,0,0,0,0,0
DET,Zach McKinstry,8,Sears,-10,0,0,0,0,0,0,0,0
ARI,Corbin Carroll,8,Strider,2,7,6,0.1,0,0,1,3,0.02
TOR,George Springer,8,Stroman,-12,3,2,0.2,0,0,1,0,0.101
TEX,Adolis Garcia,7,Brown,6,9,9,4.4,1.3,0.9,0,1,0.488
SF,LaMonte Wade Jr,7,Cease,-12,8,5,1,0.9,0,3,2,0.2
PHI,Alec Bohm,7,Corbin,-9,21,18,5.9,0.6,2.2,3,3,0.326
PHI,Trea Turner,7,Corbin,-7,3,3,1.2,0,0.1,0,0,0.409
KC,Freddy Fermin,7,Fedde,8,0,0,0,0,0,0,0,0
KC,MJ Melendez,7,Fedde,-6,0,0,0,0,0,0,0,0
TB,Ben Rortvedt,7,Gomber,41,0,0,0,0,0,0,0,0
TB,Jose Caballero,7,Gomber,47,0,0,0,0,0,0,0,0
TB,Jose Siri,7,Gomber,49,3,3,0,0,0,0,1,0.012
NYM,Brandon Nimmo,7,Greene,3,9,9,3.8,0.9,0.2,0,2,0.426
LAD,Will Smith,7,Hendricks,-3,0,0,0,0,0,0,0,0
WAS,Ildemaro Vargas,7,Nola,-3,4,4,0.6,0,0.2,0,1,0.148
CIN,Nick Martini,7,Quintana,11,0,0,0,0,0,0,0,0
CIN,Santiago Espinal,7,Quintana,6,2,2,1.3,0,0.2,0,0,0.659
DET,Gio Urshela,7,Sears,10,2,2,0,0,0,0,1,0.024
